Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Bernhard Vollbrecht,58,EC-Karte,42.99,5,23.02.2022,10:50:35
Ing. Albertine Sauer B.A.,50,Bar,42.99,5,23.02.2022,11:20:19
Rebekka Roht,51,EC-Karte,36.99,8,23.02.2022,11:21:44
Renata Kaul-Heuser,67,Kreditkarte,41.99,8,23.02.2022,11:24:42
Karoline Bauer B.Eng.,63,Kreditkarte,42.99,5,23.02.2022,11:34:13
Karl-Ludwig Kroker MBA.,46,EC-Karte,34.99,7,23.02.2022,12:33:29
Alma Keudel MBA.,52,Bar,41.99,3,23.02.2022,13:43:10
Prof. Liliane Schleich,55,Kreditkarte,44.99,5,23.02.2022,13:46:54
Anett Wähner,56,Bar,43.99,4,23.02.2022,14:01:10
Prof. Bernhardine Wende MBA.,59,EC-Karte,37.99,1,23.02.2022,14:04:16
Mirjana Drewes,60,EC-Karte,38.99,7,23.02.2022,14:55:04
Concetta Wähner B.Sc.,24,Kreditkarte,16.99,2,23.02.2022,14:55:57
Flora Ullrich-Wilms,28,EC-Karte,22.99,5,23.02.2022,14:57:51
Friedemann Girschner,66,Bar,40.99,6,23.02.2022,15:16:45
Bogdan Bohnbach,47,Kreditkarte,42.99,3,23.02.2022,16:06:26
Edgar Hornig-Schmidt,37,Kreditkarte,22.99,2,23.02.2022,17:14:26
Lorenz Hölzenbecher B.A.,62,EC-Karte,31.99,3,23.02.2022,17:34:19
Patrik Hermighausen,63,Kreditkarte,34.99,2,23.02.2022,17:50:48
Dr. Käte Birnbaum B.A.,57,EC-Karte,45.99,7,23.02.2022,18:16:23
Doris Heser-Adolph,61,Kreditkarte,44.99,1,23.02.2022,18:27:07
Kreszentia Köster,63,Bar,32.99,3,23.02.2022,18:46:32
Sinaida Mosemann,67,Kreditkarte,41.99,4,23.02.2022,18:57:00
Dipl.-Ing. Justus Schlosser B.A.,54,Kreditkarte,43.99,4,23.02.2022,19:13:01
Frau Wera Hertrampf,60,EC-Karte,32.99,7,24.02.2022,10:18:51
Isabelle Bolzmann,28,Bar,17.99,3,24.02.2022,10:49:45
Dr. Melitta Neureuther,58,EC-Karte,52.99,5,24.02.2022,12:08:29
Laurenz Jacobi Jäckel,21,Kreditkarte,22.99,4,24.02.2022,12:23:23
Gottfried Trapp,34,EC-Karte,19.99,3,24.02.2022,12:46:07
Paul Gröttner-Söding,66,Bar,42.99,4,24.02.2022,13:04:57
Dipl.-Ing. Birger Wende B.Sc.,35,Kreditkarte,18.99,2,24.02.2022,13:06:48
Ilja Barth,22,Bar,18.99,5,24.02.2022,13:20:26
Mike Hofmann MBA.,53,Bar,35.99,1,24.02.2022,13:31:48
Herr Frank Gumprich MBA.,26,Kreditkarte,15.99,5,24.02.2022,13:55:10
Karl-August Scholtz B.Eng.,52,Bar,39.99,5,24.02.2022,15:01:32
Cecilia Hamann,36,EC-Karte,21.99,6,24.02.2022,15:12:42
Hans-Jörg Rudolph,51,Kreditkarte,37.99,3,24.02.2022,15:14:13
Ernst-Dieter Jockel B.A.,20,Kreditkarte,10.99,4,24.02.2022,15:17:23
Ellen Börner,35,EC-Karte,25.99,3,24.02.2022,15:43:58
Aziz Pohl,59,Bar,27.99,5,24.02.2022,16:18:04
Ayten Jacob B.A.,26,Bar,27.99,4,24.02.2022,16:42:20
Herr Hermann Gumprich,58,Bar,29.99,5,24.02.2022,16:53:13
Ing. Herma Ziegert,47,EC-Karte,46.99,4,24.02.2022,17:03:01
Sören Müller,61,Kreditkarte,38.99,3,24.02.2022,17:10:39
Prof. Hellmuth Benthin,51,Kreditkarte,52.99,3,24.02.2022,17:34:04
Ansgar Kallert,77,EC-Karte,50.99,5,24.02.2022,17:39:17
Prof. Marten Hornig,64,EC-Karte,36.99,4,24.02.2022,18:35:35
Univ.Prof. Tomas Thies B.Eng.,26,Bar,15.99,1,24.02.2022,18:35:39
Mechthilde Ziegert-Dussen van,23,Bar,17.99,6,24.02.2022,18:48:32
Jens-Uwe Mälzer,72,Kreditkarte,34.99,3,24.02.2022,19:21:54
Thies Klemm,51,EC-Karte,52.99,3,24.02.2022,19:34:07
Harri Dussen van-Thies,30,EC-Karte,22.99,1,25.02.2022,10:15:33
Mahmut Radisch,30,EC-Karte,24.99,2,25.02.2022,10:16:52
Nikolas Krause,52,Kreditkarte,33.99,6,25.02.2022,11:13:55
Denis Tschentscher MBA.,52,Bar,37.99,7,25.02.2022,11:20:10
Andre Hahn-Graf,42,EC-Karte,39.99,5,25.02.2022,11:24:42
Erika Mohaupt,33,Bar,27.99,1,25.02.2022,11:24:52
Brian Heidrich B.Eng.,21,Kreditkarte,21.99,3,25.02.2022,12:01:39
Isidor Wulf MBA.,24,EC-Karte,21.99,3,25.02.2022,12:09:36
Janine Hein-Gierschner,48,Bar,38.99,11,25.02.2022,12:26:26
Lilli Kranz-Pieper,52,Bar,38.99,6,25.02.2022,12:30:29
Frau Lilija Mude,54,Kreditkarte,42.99,5,25.02.2022,14:06:17
Dipl.-Ing. Karl-Wilhelm Junken B.Sc.,57,EC-Karte,49.99,3,25.02.2022,14:43:20
Ing. Dolores Margraf B.Eng.,26,Kreditkarte,13.99,3,25.02.2022,15:08:07
Dipl.-Ing. Hardy Holt B.Eng.,34,Kreditkarte,19.99,2,25.02.2022,15:15:01
Valentine Matthäi,47,Kreditkarte,36.99,8,25.02.2022,15:45:45
Siegried Peukert,30,Kreditkarte,17.99,2,25.02.2022,15:49:26
Gabriele Heinrich,48,Kreditkarte,39.99,7,25.02.2022,15:53:36
Johanne Scheibe,62,EC-Karte,42.99,2,25.02.2022,16:23:48
Valeska Ruppersberger,67,Kreditkarte,40.99,6,25.02.2022,16:26:04
Hanne Döhn,58,Kreditkarte,37.99,6,25.02.2022,17:30:20
Ruben Hölzenbecher,65,Bar,39.99,5,25.02.2022,18:25:58
Fernando Lachmann,66,EC-Karte,37.99,2,25.02.2022,18:30:23
Viviane Kühnert,57,EC-Karte,32.99,5,25.02.2022,19:04:55
Erdal Heydrich MBA.,74,Bar,44.99,2,25.02.2022,19:26:01
Genoveva Fechner,28,Bar,24.99,3,25.02.2022,19:30:11
Ester van der Dussen,55,Kreditkarte,57.99,2,25.02.2022,19:30:14
Ruthild Bachmann,57,EC-Karte,37.99,3,25.02.2022,19:40:30
Dr. Madeleine Hamann B.Eng.,55,EC-Karte,32.99,7,25.02.2022,19:52:45
Iris Zorbach B.A.,33,Kreditkarte,24.99,5,26.02.2022,10:04:30
Ottmar Steinberg B.Eng.,60,Bar,49.99,4,26.02.2022,10:12:11
Carl Bloch,32,Bar,16.99,2,26.02.2022,10:19:17
Univ.Prof. Vanessa Pölitz B.Sc.,51,Kreditkarte,24.99,7,26.02.2022,10:47:17
Frau Senta Schottin,53,Bar,34.99,7,26.02.2022,10:55:49
Dipl.-Ing. Hanns Geisel,58,EC-Karte,47.99,5,26.02.2022,11:27:55
Ing. Pavel Stoll,22,EC-Karte,19.99,4,26.02.2022,11:31:49
Dipl.-Ing. Maike Buchholz B.Sc.,64,Kreditkarte,45.99,7,26.02.2022,11:59:39
Anett Neureuther,51,Kreditkarte,51.99,5,26.02.2022,12:18:58
Kenneth Gutknecht,21,Bar,24.99,1,26.02.2022,13:20:14
Eleonore Rose,53,Kreditkarte,49.99,10,26.02.2022,14:39:58
Theodora Ritter B.Sc.,56,EC-Karte,35.99,4,26.02.2022,14:40:14
Urs Holzapfel,30,Kreditkarte,30.99,4,26.02.2022,14:47:42
Prof. Wolf-Rüdiger Weitzel,53,Bar,41.99,8,26.02.2022,14:50:08
Adam Gotthard,57,Bar,44.99,11,26.02.2022,15:00:46
Dipl.-Ing. Hugo Kambs,47,Bar,35.99,8,26.02.2022,15:06:27
Nadia Rosemann-Köhler,62,Kreditkarte,56.99,2,26.02.2022,15:12:36
Patricia Ortmann-Bohlander,23,Bar,17.99,2,26.02.2022,15:22:04
Univ.Prof. Fernando Hofmann,40,EC-Karte,20.99,4,26.02.2022,15:41:33
Gerard Werner-Kusch,82,Bar,29.99,6,26.02.2022,15:41:33
Evi Kuhl,22,EC-Karte,17.99,1,26.02.2022,16:28:20
Ann Heinz,59,EC-Karte,45.99,3,26.02.2022,16:53:52
Fatma Kallert,14,Kreditkarte,17.99,2,26.02.2022,18:05:01
Hans-Walter Hauffer,51,Kreditkarte,38.99,5,26.02.2022,18:44:42
Gunar Römer,61,Bar,37.99,9,26.02.2022,19:35:23
Massimo Ritter B.Eng.,30,EC-Karte,16.99,6,26.02.2022,19:50:08
Dr. Ursula Keudel,32,Bar,21.99,3,26.02.2022,19:51:24
Prof. Sylvester Conradi,53,Bar,32.99,3,27.02.2022,10:16:59
Bekir Wieloch,53,EC-Karte,45.99,7,27.02.2022,10:39:11
Maya Beckmann,60,EC-Karte,45.99,5,27.02.2022,10:53:14
Andrey Käster B.Sc.,55,Kreditkarte,27.99,4,27.02.2022,10:53:46
Zita Neureuther,57,Kreditkarte,37.99,5,27.02.2022,11:17:33
Dipl.-Ing. Milka Tröst,48,Kreditkarte,44.99,6,27.02.2022,12:06:17
Sergei Margraf,57,EC-Karte,31.99,5,27.02.2022,12:07:39
Mahmoud Weiß B.A.,73,Bar,38.99,9,27.02.2022,12:14:55
Lutz Salz MBA.,46,Kreditkarte,32.99,8,27.02.2022,13:15:05
Alina Rust,63,Kreditkarte,33.99,4,27.02.2022,13:53:02
Ing. Heinz-Günter Meyer B.Eng.,26,Kreditkarte,18.99,5,27.02.2022,14:11:40
Univ.Prof. Juliana Wohlgemut,58,Kreditkarte,38.99,3,27.02.2022,14:19:05
Oxana Hartmann,65,Kreditkarte,45.99,8,27.02.2022,14:35:43
Univ.Prof. Wibke Holsten B.Eng.,49,Kreditkarte,50.99,5,27.02.2022,14:49:37
Univ.Prof. Karoline Koch II MBA.,59,Kreditkarte,30.99,3,27.02.2022,14:51:08
Andrea Graf MBA.,57,Bar,43.99,7,27.02.2022,15:12:30
Hinrich Lorch,59,Kreditkarte,50.99,3,27.02.2022,15:24:52
Frau Änne Jungfer B.Sc.,39,EC-Karte,14.99,5,27.02.2022,15:26:46
Christa-Maria Barth,60,Bar,43.99,7,27.02.2022,16:14:55
Ayten Tintzmann-Gröttner,59,Bar,37.99,4,27.02.2022,16:47:24
Heidelore Grein Groth B.A.,53,EC-Karte,39.99,2,27.02.2022,17:04:36
Friedlinde Caspar,48,Bar,37.99,6,27.02.2022,17:37:02
Arif Hering,58,Bar,39.99,5,27.02.2022,18:04:30
Prof. Anton Mühle,29,Bar,17.99,2,27.02.2022,18:25:21
Reinhart Trommler B.A.,39,Kreditkarte,41.99,9,27.02.2022,18:26:27
Henrik Mangold,52,Kreditkarte,39.99,7,27.02.2022,18:39:49
Claudia Nerger,57,Bar,31.99,6,27.02.2022,19:07:11
Christina Stey B.Eng.,28,EC-Karte,25.99,5,27.02.2022,19:47:21
Karl-Dieter Heintze B.A.,29,EC-Karte,23.99,5,28.02.2022,10:18:43
Hinrich Albers,33,Kreditkarte,21.99,1,28.02.2022,10:24:15
Falko Koch II-Trubin,66,Bar,51.99,2,28.02.2022,11:45:02
Pero Hande,59,Kreditkarte,41.99,4,28.02.2022,12:42:37
Dipl.-Ing. Paul-Heinz Klotz,27,EC-Karte,13.99,4,28.02.2022,14:08:53
Oswald Salz,39,Bar,47.99,7,28.02.2022,14:13:08
Ing. Elke Heuser B.A.,61,Bar,33.99,2,28.02.2022,14:41:43
Laila Sölzer,48,Kreditkarte,39.99,4,28.02.2022,14:55:59
Anne-Katrin Gnatz,55,Bar,33.99,4,28.02.2022,15:16:59
Dr. Milos Kranz B.A.,55,Kreditkarte,32.99,5,28.02.2022,15:20:24
Marlies Hörle,25,Bar,18.99,5,28.02.2022,15:48:18
Linda Zorbach B.Sc.,58,Kreditkarte,41.99,10,28.02.2022,16:18:27
Janett Dörr,66,Bar,48.99,3,28.02.2022,16:35:24
Vlado Harloff,49,EC-Karte,40.99,8,28.02.2022,16:46:30
Lidwina Fröhlich,28,EC-Karte,20.99,2,28.02.2022,16:47:08
Hans Jürgen Gerlach B.A.,26,EC-Karte,23.99,2,28.02.2022,16:52:46
Olav Junken,35,Bar,14.99,1,28.02.2022,16:53:11
Swantje Adler-Lehmann,53,EC-Karte,48.99,7,28.02.2022,17:02:21
Gernot Steckel-Schmidt,58,Kreditkarte,34.99,3,28.02.2022,17:16:18
Frau Traute Stiffel B.Sc.,31,Kreditkarte,23.99,4,28.02.2022,17:19:34
Prof. Josephine Meister,48,Bar,26.99,7,28.02.2022,17:59:52
Luzie Bärer-Albers,65,Kreditkarte,50.99,6,28.02.2022,18:41:05
Gerti Birnbaum B.Sc.,37,Kreditkarte,21.99,5,28.02.2022,18:58:27
Frau Sibel Schleich,49,EC-Karte,40.99,5,28.02.2022,19:13:33
Almuth Fischer MBA.,63,Bar,45.99,1,28.02.2022,19:23:56
Maren Tschentscher-Ditschlerin,38,Kreditkarte,50.99,2,28.02.2022,19:30:49
Tilman Finke B.Eng.,45,EC-Karte,49.99,7,28.02.2022,19:40:40
Vlado Graf,27,Kreditkarte,20.99,3,01.03.2022,10:05:21
Julius Süßebier,62,Kreditkarte,49.99,6,01.03.2022,10:06:40
Friedhilde Kensy-Drub,45,Kreditkarte,38.99,2,01.03.2022,11:17:50
Univ.Prof. Hans D. Zahn,47,Kreditkarte,33.99,3,01.03.2022,12:34:06
Alexandra Barkholz,64,Bar,42.99,6,01.03.2022,13:21:24
Ing. Gudrun Atzler B.A.,53,Bar,45.99,4,01.03.2022,13:48:12
Alida Mosemann-Ullrich,46,Bar,50.99,4,01.03.2022,13:54:21
Klaus-Jürgen Gierschner-Meister,54,EC-Karte,40.99,4,01.03.2022,14:13:05
Rocco Junk MBA.,23,Kreditkarte,20.99,5,01.03.2022,14:21:50
Gerhardt Pergande MBA.,58,Kreditkarte,47.99,7,01.03.2022,14:23:31
Sieghard Sager,69,Kreditkarte,38.99,6,01.03.2022,14:49:56
Dr. Elli Mälzer MBA.,35,EC-Karte,21.99,3,01.03.2022,14:52:56
Ernst-Otto Wirth,23,EC-Karte,17.99,1,01.03.2022,15:01:28
Dr. Eckard Kruschwitz,71,EC-Karte,50.99,6,01.03.2022,15:23:37
Annelie Etzold,31,EC-Karte,18.99,2,01.03.2022,15:43:12
Aysel Reising,58,Bar,39.99,3,01.03.2022,15:43:53
Ansgar Dörschner,51,Kreditkarte,25.99,3,01.03.2022,15:44:34
Tilo Jockel,23,Kreditkarte,21.99,2,01.03.2022,16:03:59
Muzaffer Ehlert,42,Bar,16.99,2,01.03.2022,16:39:02
Paulina Scholl,57,Bar,45.99,5,01.03.2022,16:44:18
Irmingard Jüttner,58,Kreditkarte,50.99,5,01.03.2022,17:23:31
Dipl.-Ing. Rolf-Peter Stroh B.Eng.,63,Kreditkarte,26.99,4,01.03.2022,17:38:46
Natalia Fritsch MBA.,53,EC-Karte,43.99,5,01.03.2022,17:44:43
Mahmut Hänel,59,Kreditkarte,36.99,5,01.03.2022,18:16:40
Ingetraud Hölzenbecher,34,Kreditkarte,16.99,5,01.03.2022,18:20:47
Jonathan Gnatz B.A.,30,Bar,20.99,2,01.03.2022,18:49:15
Peggy Pölitz,58,EC-Karte,55.99,5,01.03.2022,19:12:15
Meike Oestrovsky,62,Kreditkarte,53.99,3,01.03.2022,19:52:09
Hilde Wulff B.Eng.,78,EC-Karte,27.99,12,02.03.2022,10:13:09
Gotthard Ehlert,33,EC-Karte,12.99,5,02.03.2022,10:32:28
Frau Fadime Bolnbach,45,Bar,34.99,1,02.03.2022,10:39:34
Henryk Schinke B.Sc.,59,Kreditkarte,35.99,6,02.03.2022,10:43:31
Dunja Freudenberger,36,EC-Karte,21.99,5,02.03.2022,11:55:12
Ingried Martin-Reichmann,35,Kreditkarte,19.99,3,02.03.2022,12:02:44
Elena Lachmann B.Sc.,27,EC-Karte,20.99,5,02.03.2022,12:25:50
Hugo Oderwald,25,Kreditkarte,23.99,2,02.03.2022,13:50:19
Pamela Freudenberger,46,Bar,33.99,3,02.03.2022,13:51:09
Therese Blümel,76,Bar,44.99,5,02.03.2022,14:05:28
Dr. Janusz Mies B.A.,69,EC-Karte,39.99,5,02.03.2022,14:40:02
Fredy Trubin,28,Kreditkarte,18.99,3,02.03.2022,14:48:22
Cemil Flantz,55,EC-Karte,38.99,3,02.03.2022,15:25:37
Tilly Mielcarek B.A.,54,EC-Karte,46.99,3,02.03.2022,15:49:03
Johan Schuchhardt,33,Kreditkarte,14.99,2,02.03.2022,16:22:37
Janin Rosenow,58,Kreditkarte,34.99,2,02.03.2022,16:46:53
Gabor Hornig,58,Kreditkarte,43.99,3,02.03.2022,17:06:44
Frau Marietta Heinrich B.Sc.,55,Bar,43.99,4,02.03.2022,17:08:25
Jana Müller,55,Kreditkarte,51.99,2,02.03.2022,17:08:34
Reingard Kitzmann B.Eng.,43,Kreditkarte,38.99,6,02.03.2022,17:20:15
Gilbert Zänker-Schomber,55,Kreditkarte,41.99,4,02.03.2022,17:20:56
Ing. Tomislav Heinrich B.A.,55,EC-Karte,35.99,6,02.03.2022,17:35:06
Dr. Rotraut Fritsch,52,EC-Karte,39.99,5,02.03.2022,18:00:53
Anette Putz,63,EC-Karte,40.99,4,02.03.2022,18:33:40
Dr. Norman Pohl,59,Bar,36.99,3,02.03.2022,18:43:59
Liliana Klemm B.A.,61,Bar,41.99,3,02.03.2022,19:36:18
Waltrud Linke B.Eng.,59,Bar,35.99,6,02.03.2022,19:46:47
Univ.Prof. Lidija Förster,23,EC-Karte,13.99,3,03.03.2022,10:12:28
Ing. Guenter Austermühle,55,Bar,30.99,8,03.03.2022,10:44:47
Siegried Gotthard B.Eng.,66,Kreditkarte,44.99,6,03.03.2022,11:00:41
Christopher Holzapfel,65,Bar,41.99,4,03.03.2022,11:01:22
Maximilian Scheibe,55,Kreditkarte,42.99,4,03.03.2022,11:09:25
Eric Bähr-Warmer,64,Bar,42.99,3,03.03.2022,11:28:06
Denise Rohleder,32,Bar,21.99,5,03.03.2022,12:13:09
Natalia Lübs,65,Kreditkarte,34.99,3,03.03.2022,12:53:57
Mohamed Dobes,44,Kreditkarte,38.99,4,03.03.2022,13:12:12
Eckhard Gertz B.Sc.,50,Kreditkarte,53.99,2,03.03.2022,13:29:38
Marisa Römer,47,EC-Karte,42.99,3,03.03.2022,13:35:00
Stefano Winkler,55,Bar,32.99,4,03.03.2022,14:25:22
Herr Leonardo Schulz B.A.,62,Bar,33.99,4,03.03.2022,15:07:53
Ricardo Sorgatz,22,Kreditkarte,16.99,2,03.03.2022,15:52:44
Mechtild Steinberg,54,EC-Karte,43.99,3,03.03.2022,16:18:03
Ing. Pietro Metz MBA.,35,Kreditkarte,13.99,3,03.03.2022,16:19:19
Albrecht Etzold,71,Bar,50.99,7,03.03.2022,16:23:35
Sophie Girschner,61,EC-Karte,36.99,7,03.03.2022,16:35:50
Auguste Löwer,61,Bar,47.99,5,03.03.2022,17:26:41
Annemie Käster,53,Kreditkarte,48.99,6,03.03.2022,17:28:31
Alois Hettner,43,EC-Karte,38.99,6,03.03.2022,17:32:00
Claus-Peter Schacht,63,Bar,45.99,4,03.03.2022,18:15:57
Rudolph Hänel,29,Bar,25.99,3,03.03.2022,18:21:16
Maxim Wohlgemut,55,Kreditkarte,35.99,4,03.03.2022,18:29:50
Hilmar Walter,53,Bar,33.99,8,03.03.2022,18:33:25
Dr. Elsa Kensy B.Eng.,47,EC-Karte,47.99,4,03.03.2022,19:03:31
Zeljko Gertz,62,Kreditkarte,38.99,9,03.03.2022,19:40:06
Waltraut Scheibe,56,Kreditkarte,43.99,5,03.03.2022,19:56:15
Dipl.-Ing. Antoinette Bachmann B.A.,34,Kreditkarte,22.99,6,04.03.2022,10:07:19
Dr. Mahmoud Jopich B.A.,63,EC-Karte,42.99,7,04.03.2022,10:18:48
Margrit Neureuther,35,Bar,23.99,3,04.03.2022,11:28:38
Dipl.-Ing. Remo Hethur,60,EC-Karte,41.99,5,04.03.2022,11:35:32
Wilma Faust,56,EC-Karte,36.99,6,04.03.2022,11:40:29
Dipl.-Ing. Almuth Henschel B.Sc.,58,EC-Karte,30.99,7,04.03.2022,11:42:16
Evangelia Süßebier B.A.,58,Bar,38.99,6,04.03.2022,11:44:54
Gerolf Conradi-Lübs,54,Bar,27.99,3,04.03.2022,11:55:00
Dr. Antonius Heinrich,62,Bar,51.99,4,04.03.2022,12:25:51
Romana Seifert,52,Bar,39.99,7,04.03.2022,12:35:25
Cordula Möchlichen,49,EC-Karte,45.99,4,04.03.2022,12:45:28
Ing. Friedrich-Karl Aumann B.A.,44,Bar,42.99,2,04.03.2022,13:06:19
Katharina Döhn-Hahn,22,EC-Karte,18.99,1,04.03.2022,15:06:44
Ing. Frida Bonbach,63,EC-Karte,35.99,2,04.03.2022,15:12:41
Krista Stumpf,51,Bar,35.99,6,04.03.2022,15:53:54
Gesa Geisler,24,EC-Karte,13.99,5,04.03.2022,16:33:35
Hans-H. Stolze-Keudel,61,Kreditkarte,48.99,6,04.03.2022,16:37:09
Philip Drubin-Mohaupt,22,Kreditkarte,20.99,7,04.03.2022,16:49:57
Dipl.-Ing. Laila Gerlach,48,Bar,49.99,8,04.03.2022,16:59:03
Prof. Gerolf Thanel,34,Kreditkarte,26.99,1,04.03.2022,17:49:38
Jonas Meyer-Nette,54,Kreditkarte,32.99,4,04.03.2022,17:51:47
Marcel Fischer,28,Bar,25.99,2,04.03.2022,18:19:44
Rouven Dehmel B.A.,78,EC-Karte,34.99,7,04.03.2022,18:43:06
Traute Eimer-Süßebier,54,Bar,38.99,7,04.03.2022,18:51:13
Prof. Annaliese Haering,23,EC-Karte,17.99,1,04.03.2022,18:56:03
Mathilde Rörricht-Koch,54,Kreditkarte,38.99,8,04.03.2022,19:19:13
Gerhardt Mentzel,57,Kreditkarte,35.99,7,04.03.2022,19:47:22
Emmerich Misicher,53,Bar,31.99,3,05.03.2022,10:08:35
Franjo Liebelt MBA.,65,Kreditkarte,44.99,2,05.03.2022,11:12:42
Türkan Bachmann,65,Bar,45.99,7,05.03.2022,11:44:00
Mirko Rose,52,Kreditkarte,41.99,4,05.03.2022,12:02:57
Romy Pechel,51,EC-Karte,38.99,3,05.03.2022,12:04:10
Prof. Massimo Henschel MBA.,47,Bar,31.99,5,05.03.2022,12:27:26
Ing. Swetlana Döhn,58,Bar,36.99,5,05.03.2022,12:29:10
Veli Briemer B.A.,39,Kreditkarte,36.99,5,05.03.2022,13:10:19
Anne-Marie Kensy-Köster,31,Kreditkarte,16.99,5,05.03.2022,13:11:51
Eric Pergande,45,Kreditkarte,49.99,4,05.03.2022,13:35:07
Wolf-Dietrich Rohleder,47,Kreditkarte,55.99,2,05.03.2022,13:46:32
Marjan Sorgatz,59,EC-Karte,45.99,2,05.03.2022,14:13:48
Donald Bärer,14,EC-Karte,26.99,1,05.03.2022,14:19:41
Hans-Bernd Otto,52,EC-Karte,38.99,1,05.03.2022,14:24:35
Herr Karl-Ludwig Renner,63,Kreditkarte,34.99,9,05.03.2022,15:05:22
Engelbert Jäntsch B.Sc.,51,EC-Karte,37.99,3,05.03.2022,15:12:32
Yilmaz Kambs,32,EC-Karte,19.99,2,05.03.2022,16:08:54
Gloria Kramer,33,Kreditkarte,11.99,2,05.03.2022,16:38:13
Malte Lachmann,52,EC-Karte,44.99,7,05.03.2022,16:39:07
Viviane Ruppert,33,EC-Karte,20.99,2,05.03.2022,16:56:26
Toni Salz,56,EC-Karte,50.99,7,05.03.2022,16:59:45
Katharina Klemm,60,EC-Karte,38.99,6,05.03.2022,17:35:51
Laszlo Albers,55,Kreditkarte,51.99,7,05.03.2022,17:42:00
Louis Löffler-Zänker,35,EC-Karte,18.99,2,05.03.2022,18:06:29
Ortrun Wulf,51,Kreditkarte,45.99,5,05.03.2022,18:08:16
August Löffler-Kambs,56,Kreditkarte,35.99,3,05.03.2022,18:44:04
Rosita Bolzmann,63,Kreditkarte,38.99,5,05.03.2022,18:50:38
Vlado Dörschner,43,Kreditkarte,36.99,3,05.03.2022,19:09:16
Arndt Binner MBA.,59,EC-Karte,53.99,8,06.03.2022,10:00:01
Melita Heydrich,54,Kreditkarte,33.99,3,06.03.2022,10:00:57
Margaretha Hölzenbecher,33,EC-Karte,19.99,3,06.03.2022,10:22:45
Diethard Gutknecht,33,EC-Karte,22.99,3,06.03.2022,10:24:07
Enno Holzapfel-Schleich,74,Bar,36.99,4,06.03.2022,10:38:58
Sigurd Renner,25,EC-Karte,15.99,1,06.03.2022,10:56:54
Fanny Plath,24,Bar,22.99,1,06.03.2022,11:23:23
Minna Förster,30,Kreditkarte,21.99,2,06.03.2022,11:40:48
Egon Ziegert-Pärtzelt,24,Kreditkarte,27.99,6,06.03.2022,12:07:42
Verena Lange MBA.,50,Bar,39.99,6,06.03.2022,12:17:26
Prof. Alex Klotz,51,EC-Karte,48.99,7,06.03.2022,12:50:39
Gerwin Ebert-Sorgatz,50,EC-Karte,39.99,4,06.03.2022,12:54:29
Ing. Hella Blümel B.Eng.,69,Bar,42.99,8,06.03.2022,14:01:10
Oxana Weihmann-Röhrdanz,56,Kreditkarte,37.99,2,06.03.2022,14:21:17
Tatjana Hamann,34,Kreditkarte,25.99,7,06.03.2022,14:24:13
Vinzenz Salz,57,Kreditkarte,30.99,4,06.03.2022,14:49:23
Arnim Jessel,39,Bar,13.99,2,06.03.2022,14:52:13
Theo Wieloch,55,Bar,33.99,4,06.03.2022,15:26:20
Belinda Steinberg B.Eng.,31,Bar,28.99,4,06.03.2022,15:34:55
Saskia Lübs,64,Bar,42.99,2,06.03.2022,15:46:29
Malte Ebert B.A.,24,Kreditkarte,16.99,2,06.03.2022,15:54:48
Carsten Langern,58,Kreditkarte,39.99,5,06.03.2022,15:56:38
Gitte Adler,55,Kreditkarte,35.99,3,06.03.2022,16:24:04
Sophie Lange,28,EC-Karte,20.99,4,06.03.2022,17:09:32
Dipl.-Ing. Henny Nohlmans MBA.,57,EC-Karte,63.99,4,06.03.2022,17:45:04
Wenzel Thies-Rust,30,EC-Karte,27.99,2,06.03.2022,18:00:51
Freia Birnbaum,51,EC-Karte,40.99,5,06.03.2022,18:20:35
Josefine Ullmann,28,Bar,18.99,2,07.03.2022,10:20:55
Dr. Juliana Wirth,42,Kreditkarte,31.99,6,07.03.2022,10:37:17
Ljudmila Beyer B.Sc.,54,EC-Karte,46.99,4,07.03.2022,11:05:20
Benno Junk,61,Bar,53.99,6,07.03.2022,11:17:51
Dipl.-Ing. Amanda Mühle MBA.,46,Bar,37.99,8,07.03.2022,11:56:23
Natalie Schmiedecke-Hering,75,Kreditkarte,60.99,7,07.03.2022,12:35:42
René Ring,73,EC-Karte,30.99,4,07.03.2022,12:49:10
Annekatrin Schottin B.Sc.,58,Bar,40.99,6,07.03.2022,14:09:58
Dr. Katarina Ebert,52,Bar,45.99,2,07.03.2022,14:10:11
Herlinde Ackermann,53,Bar,41.99,4,07.03.2022,14:22:39
Heimo Beier,26,Kreditkarte,20.99,2,07.03.2022,14:47:17
Marie-Theres Kensy B.A.,31,EC-Karte,31.99,5,07.03.2022,14:52:45
Luigi Schinke,47,Bar,42.99,5,07.03.2022,15:01:04
Joseph Steckel MBA.,55,Bar,49.99,4,07.03.2022,15:02:48
Herr Ottmar Kaul B.Sc.,47,EC-Karte,48.99,7,07.03.2022,15:20:42
Ewa Ortmann B.A.,25,Bar,20.99,4,07.03.2022,15:33:36
John Vollbrecht MBA.,36,EC-Karte,16.99,4,07.03.2022,15:46:01
Annedore Ziegert-Hänel,36,EC-Karte,12.99,3,07.03.2022,16:06:52
Horst-Günter Misicher,63,Bar,36.99,5,07.03.2022,16:20:26
Walburga Stolze,52,Kreditkarte,44.99,6,07.03.2022,16:33:20
